Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,1979,1979,1000 $,12752,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,1980,1980,1000 $,44827,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2002,2002,1000 $,14416,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2003,2003,1000 $,11450,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2004,2004,1000 $,9719,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2005,2005,1000 $,19403,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2006,2006,1000 $,21510,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2007,2007,1000 $,104222,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2008,2008,1000 $,100096,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2009,2009,1000 $,38977,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2010,2010,1000 $,63333,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2011,2011,1000 $,55197,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2012,2012,1000 $,28017,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2013,2013,1000 $,52900,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2014,2014,1000 $,32115,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2016,2016,1000 $,22703,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2017,2017,1000 $,10677,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2018,2018,1000 $,11877,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2019,2019,1000 $,12255,Fc
2,Afghanistan,515,Apples,64,Import Value Base Period Quantity,2020,2020,1000 $,70072,Fc
2,Afghanistan,515,Apples,65,Import Value Base Period Price,1979,1979,1000 $,22,Fc
2,Afghanistan,515,Apples,65,Import Value Base Period Price,1980,1980,1000 $,5,Fc
2,Afghanistan,515,Apples,65,Import Value Base Period Price,2002,2002,1000 $,233,Fc
